year,species_code,comp_type,length,ae,ae_al,al,base
1999,21720,total,670,3.1229504900865104,2.620714121585826,3.156366580013147,5.264047205294361
1999,21720,total,680,3.9428638026024796,3.4365877418735162,2.5138974747849847,3.4785742278960745
1999,21720,total,690,2.5268584813314816,2.216827803878844,3.6056620665103214,5.802334141944468
1999,21720,total,700,6.953025584481951,7.1158739546868,4.857207832481595,7.732821024173919
1999,21720,total,710,3.87504861127781,2.7479103588238702,3.4236694359902264,5.905579037744616
1999,21720,total,720,3.531570266028966,2.5739604108540606,1.184396806536969,1.6827828750539848
1999,21720,total,730,4.377554100110498,3.832074829293417,1.674379918563673,2.5735564992382667
1999,21720,total,740,3.2322159899260927,2.407239825956012,1.797512295105936,3.0090519832228235
1999,21720,total,750,1.8554115641122355,2.018825078744633,0.9122807381306021,1.162932864873108
1999,21720,total,760,2.8262049467797468,2.5607778761428213,2.049040080562361,3.185247870855982
1999,21720,total,770,1.6686004239683576,1.5214804107990152,0.7993414273232169,0.9960570814369706
1999,21720,total,790,2.55500677975766,2.081169631551233,1.5189487528208432,2.6474241292704392
1999,21720,total,840,2.063610415094398,2.3687399578123025,1.194714673625112,1.2313207243676485
1999,21720,total,850,1.1777767478462813,1.2960282424968332,2.1454730278990883,2.583792661254095
1999,21720,total,870,1.9212215856681325,2.3493175056190925,1.157838564283192,1.1800201949593432
1999,21720,total,970,2.0362395784972986,2.313520259584293,0.8906905408685978,1.0757744317478204
2001,21720,total,220,4.682880760101462,3.0777669821524616,3.2520598607502205,5.262527544635398
2001,21720,total,240,4.816484470291079,4.203810092702876,4.118339207307669,5.225843449169313
2001,21720,total,250,5.165529714872436,3.923299086200676,3.025895284566043,4.325620957453568
2001,21720,total,260,6.936808980181848,5.199147330060423,4.278215216931097,5.927722626921558
2001,21720,total,270,5.138719112198368,3.436216855340488,2.8729239962955537,4.155359923311103
2001,21720,total,280,5.458720546390968,3.955504261180634,3.2457702271398743,4.901802818062152
2001,21720,total,300,1.2533344178367176,1.2200082388863118,2.2860278523736186,3.2215264132416515
2001,21720,total,310,1.5955350391544862,1.3642489415956738,2.6339327671209896,4.424120851834136
2001,21720,total,330,2.751059035794587,2.6426435782435305,2.051578803442099,2.69502066241111
2001,21720,total,350,4.691701688199937,3.5830332456297898,2.6090296114558686,3.811632029174428
2001,21720,total,360,1.7862523531696153,1.5842106628798995,3.0543006569794993,4.342288740026612
2001,21720,total,370,5.80570450382787,4.978341767678325,2.7011612753563417,3.9333329825517684
2001,21720,total,380,1.3279376693716356,1.3318029859512297,2.5717657799556966,3.0695339148642407
2001,21720,total,390,4.214253260042263,3.9195832874614447,3.208994438103477,4.724138522898937
2001,21720,total,400,1.3087081123514408,1.1405554099388238,3.9837437212137057,5.504674729515684
2001,21720,total,410,1.0394985610782497,0.9786548577608308,3.9606702651204673,6.660833778952484
2001,21720,total,420,2.2977803966866057,1.984947821882128,3.6800851525074285,4.969690581102157
2001,21720,total,430,1.1416598091666472,1.1460478946000225,5.043289130175913,7.941023200535508
2001,21720,total,440,3.914570197935944,3.691599483123214,4.315839322128556,5.77989945924857
2001,21720,total,450,5.800431781585736,5.802094432006,4.725303325947009,6.8042471635685935
2001,21720,total,460,4.309851112320442,4.107539976621379,3.080064203359946,4.686213403277441
2001,21720,total,470,6.792823834361467,6.95967578079614,4.041608309879678,5.586747618820643
2001,21720,total,480,7.021841890228883,6.4690937474540835,3.5216774766910603,4.8063041731451674
2001,21720,total,490,5.878977012411773,4.207509490434248,2.5621756275855523,4.042176139454564
2001,21720,total,500,2.7885002339750904,2.4888035103841037,3.151921052755168,5.5674418655140405
2001,21720,total,510,0.8808741770079191,0.8518505305070363,3.1199054957503356,4.670227578458712
2001,21720,total,520,1.5276038489657673,1.5089838229228874,2.640422882480441,4.50416391563706
2001,21720,total,530,3.832661024354387,3.706601062342801,3.67920606429237,5.519950018839078
2001,21720,total,540,3.2359585689785404,3.024438898724678,4.6600601023700525,6.761470733576716
2001,21720,total,550,7.666804747560438,7.091624458587535,4.081398560009566,5.859393807833183
2001,21720,total,560,5.479730770491119,5.255579087200405,4.14485995816971,6.6112290148705775
2001,21720,total,570,4.864433620213793,4.333363942115023,3.269957347764296,4.726284054368659
