year,species_code,comp_type,length,ae,ae_al,al,base
1993,10110,female,260,1.2354811469172284,1.0964868009850246,2.410349013594578,3.1881968241994967
1993,10110,female,270,3.7045902268646302,2.8435379157403773,2.937025377527526,4.081738361486364
1993,10110,female,280,3.2004713875891277,2.842437938199447,2.670464349740869,3.853402693216268
1993,10110,female,290,4.044795925938062,3.244180367766936,3.5630456211428108,5.225419788647864
1993,10110,female,300,3.439400779117396,2.905232142430747,2.334268621729571,3.181976078053384
1993,10110,female,310,3.8216893475139133,2.964858573031441,2.610525708553866,3.6804759364530293
1993,10110,female,320,6.441357068163248,5.298353587975098,3.874890500225662,5.515639848964858
1993,10110,female,330,2.0141236431643748,1.9368497063089523,3.0945478700609907,5.374497027024061
1993,10110,female,340,4.5306373169785275,3.7644007206560146,2.692121546380545,3.9424616213615207
1993,10110,female,350,5.46811673944461,4.329972356815948,3.1077355716091652,4.969911045287916
1993,10110,female,360,3.6971033657920804,3.279156953831097,2.869430530429423,4.6377816798127
1993,10110,female,370,5.567519895057862,4.692516641822756,3.0777277708837745,4.639648991954359
1993,10110,female,380,5.632909718796391,4.451216607439398,3.3280412556066716,5.005082172909275
1993,10110,female,390,4.159014689158894,3.873936995076945,3.1257829336666574,4.7545674549971455
1993,10110,female,400,6.511269013805882,5.462653236123487,3.2734612485625525,5.105782000483454
1993,10110,female,410,6.063373600664547,5.3475483375307675,3.617525860063887,5.59588296682268
1993,10110,female,420,5.0239014249359615,4.209999448300763,2.759450613195272,4.08524310490291
1993,10110,female,430,5.9655884898281615,4.6419988858393655,2.810352267025602,4.878093845977727
1993,10110,female,440,5.256660006150526,3.826756586399334,2.954323201320267,5.088458769204388
1993,10110,female,450,4.6376587912226706,3.893373577804032,2.9516351062245274,4.759415956160284
1993,10110,female,460,4.612402470649022,3.6923914023206112,2.7938621308381593,4.667370177588062
1993,10110,female,470,2.977170153965839,2.8766084565521677,2.5555165511280764,3.969224569614731
1993,10110,female,480,4.410770806728121,3.4468428891372183,2.8539247356850455,4.852141502117145
1993,10110,female,490,5.872024908225224,4.240309191254015,2.9119578078244754,5.195758756966394
1993,10110,female,500,4.4079873989502625,4.1311140942295435,3.9435444455361988,6.1247040476257455
1993,10110,female,510,3.3763498028804735,3.440009434204521,4.067993472357349,6.51822431579358
1993,10110,female,560,4.629801716283398,4.14933980099921,3.5551107053770266,6.298215164508936
1993,10110,male,140,1.7000515511451895,2.0635832350703103,2.8607951724537624,2.7884042175093295
1993,10110,male,150,2.5917211562095877,2.1523150522976997,2.116338449205863,2.6823801690121054
1993,10110,male,160,1.3897603636441493,1.258097826170612,1.2437974416198616,1.6248363297614625
1993,10110,male,170,2.2532826301470688,1.7583396006221903,1.6229112111342041,2.2334356265984545
1993,10110,male,190,4.268836363547758,3.2457707687512185,3.7779593180095103,5.339723781295329
1993,10110,male,200,1.9228954647733694,1.8758370299506335,2.9036305075667195,4.0629950445069
1993,10110,male,210,2.73388452456323,2.20596236266913,2.8260100909432833,8.333333333333334
1993,10110,male,220,4.115279567397656,3.2931498614247054,3.104090200598891,4.077435658319756
1993,10110,male,230,3.963818029763559,3.1460610655905663,2.7315029298861453,3.825749711375337
1993,10110,male,240,5.32460170524141,3.8895330419561236,3.0689785755225385,4.4581134305630545
1993,10110,male,250,3.3282053476946136,2.7442248506635467,3.1229776443010953,4.121089721181324
1993,10110,male,260,3.730163171439972,2.9955555009620847,2.2805613278269274,3.285273465794193
1993,10110,male,270,3.63669296535954,2.8479000758264337,2.5681962189103436,3.7303527468640425
1993,10110,male,280,4.438915405314097,3.467324880242775,3.281503623203959,4.47114714545322
1993,10110,male,290,3.099267477953721,2.9553364798105655,2.6596123751081104,3.8282084848971607
1993,10110,male,300,3.521900903843915,2.9157218393179063,2.7231645282739505,3.895602966511032
1993,10110,male,310,5.120937803942061,4.092412170183481,3.1762698490373493,4.798596858505622
1993,10110,male,320,5.021836629623174,3.6291374053824863,2.5208364484815533,4.007312293309021
1993,10110,male,330,4.373886561801502,3.6999127726285965,2.7822247468932044,3.9991873676773833
1993,10110,male,340,4.985114733623442,4.180777094059746,3.0223754367088502,4.528822713145798
1993,10110,male,350,6.262648196710838,5.21239436159452,3.638003213532319,5.663634772017333
1993,10110,male,360,6.036946876019022,5.262423298537251,4.001827282011165,6.641292227775228
1993,10110,male,370,5.713103039205931,4.824245669702415,3.5198155067330195,5.509480200716463
1993,10110,male,390,6.073806451982073,5.228734942815842,4.132485239262735,6.457439619200121
1993,10110,male,400,2.070883503854515,1.9516922052278431,3.4486432477339295,5.894940702232262
1993,10110,male,410,2.866488888638369,2.5066121928913896,3.3506932094161797,5.45891859156931
1993,10110,male,420,4.752539571053414,4.312162031459795,3.701897616116553,5.418605734351197
1993,10110,male,430,4.347126097280848,4.134926478296092,3.548055778610647,5.216016464826167
1993,10110,male,440,4.65899627095823,4.050274053036516,2.847225843290104,4.551018184742523
1993,10110,male,450,4.712955970147054,4.063435312132896,4.0449858449812535,6.174766151458204
1993,10110,male,460,4.718747551797875,3.836048826184174,2.9159935687042005,4.607303748577136
1993,10110,male,480,4.17256627298674,3.2227285447815697,1.7399647341999234,3.2836391519552466
1993,10110,male,490,2.7480723990192613,2.2824599055704162,1.7755679117487972,2.4588010476219027
1993,10110,total,140,1.7631891414800192,2.3618521585890893,2.815827001542,2.44006452257177
1993,10110,total,150,3.9254319113754175,3.144274040957637,3.6721690795288686,4.61359374355826
1993,10110,total,160,3.1902713127694895,2.7077279471131126,2.295301201421159,2.9807561781991154
1993,10110,total,170,4.105713368072355,3.310887115955592,2.781442873250551,3.482246867650273
1993,10110,total,180,3.3925119192695297,3.3249300871174485,10.558247351811769,15.698113207547165
1993,10110,total,190,4.086307782747978,3.531534239852726,3.9386039384515668,5.835244600146181
1993,10110,total,200,3.973413742400108,3.4804944986934783,4.982282313863704,7.389618703557585
1993,10110,total,210,1.4467854385419656,1.254652513294947,1.4896026146224035,4.901960784313729
1993,10110,total,220,6.853483715666519,5.594926332164875,5.751073805262992,8.318006073205185
1993,10110,total,230,7.280655652083121,6.209878113713751,4.568687063501001,6.224707734069696
1993,10110,total,240,10.546513437916985,8.64317037429716,5.738560900839827,8.1426497840691745
1993,10110,total,250,5.235874416640866,4.507131964685859,4.871576610799987,6.485436792638399
1993,10110,total,260,5.077651402660196,4.505133064380817,4.496986330241741,5.9408937941575815
1993,10110,total,270,7.069338298160252,5.563510954954573,5.949440168592884,9.246751912043013
1993,10110,total,280,6.372367405171012,5.942567378682852,5.682661667157108,7.773819124483904
1993,10110,total,290,7.27722762501446,6.551204807341803,7.083115090734098,10.47216973643535
1993,10110,total,300,6.203213098906371,5.234716951899083,4.2826399437779425,5.5710193356920374
1993,10110,total,310,8.352356254101004,6.828409888947077,6.050581420537452,8.809484104232409
1993,10110,total,320,14.354994908963059,11.220476793373635,7.099731553406714,11.088058058672601
1993,10110,total,330,5.55044425258112,5.465738433589192,6.4973193945094065,10.690139706074193
1993,10110,total,340,8.898822129336825,7.404499202820078,5.12517664823712,7.571494052132061
1993,10110,total,350,12.336596859757206,10.352876771812195,7.306530676311841,11.349773381615853
1993,10110,total,360,12.60695384957585,10.549383036497902,7.426213459577277,12.648498613662042
1993,10110,total,370,14.501133887581958,12.424286505667498,7.18299045846183,11.191041784761191
1993,10110,total,380,10.985178291582718,7.869184798266599,7.275933697887682,11.02292851148586
1993,10110,total,390,8.71656762338797,8.162335580607412,7.9665666931509,12.387996001848897
1993,10110,total,400,8.39209140477483,7.539441343957183,6.9695047838608595,11.023267972109219
1993,10110,total,410,8.171882667523262,7.7185640082752505,7.821483331007673,11.91739224829403
1993,10110,total,420,10.88515666897623,10.173479835073927,7.579809438167785,11.540675812350145
1993,10110,total,430,10.580883663792003,9.734413735330554,6.840967127457317,10.749053483988204
1993,10110,total,440,10.463019058452025,8.729760917951525,6.157858779765642,9.943821956695922
1993,10110,total,450,12.037956395499098,11.051661070919474,7.718339005615162,12.012403057468088
1993,10110,total,460,11.797655000044726,10.05167953855527,7.135167300282027,11.094463347572223
1993,10110,total,470,9.933548515986647,6.998468127301067,5.913843900669038,9.282165974903512
1993,10110,total,480,10.994753723582754,8.90693767643237,5.501282357777853,9.389850308898005
1993,10110,total,490,9.258489067901598,6.908212542179721,4.614328890640256,8.203118997497066
1993,10110,total,500,8.88556156328821,8.527142066208144,8.073706216359694,12.22053384556135
1993,10110,total,510,2.49923103892901,2.5412643395230687,3.6315473213508507,5.787917656004385
1993,10110,total,560,6.713081299875655,5.443495440735052,4.106141911446225,6.937846883170116
1993,21720,female,250,3.1029403523519625,2.432778705312133,2.9039909924306055,3.3294893900539484
